idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,present_employment_since,marriage,age_in_years,housing,foreign_worker,job
1,0,0,0,6,5,1169,4,0,67,1,0,2
2,1,1,1,48,3,5951,2,1,22,1,0,2
3,0,0,3,12,5,2096,3,0,49,1,0,1
4,0,0,0,42,3,7882,3,0,45,2,0,2
5,1,0,0,24,4,4870,2,0,53,2,0,2
6,0,0,3,36,3,9055,2,0,35,2,0,1
7,0,0,3,24,3,2835,4,0,53,1,0,2
8,0,0,1,36,3,6948,2,0,35,0,0,3
9,0,0,3,12,3,3059,3,2,61,1,0,1
10,1,0,1,30,5,5234,0,3,28,1,0,3
11,1,1,1,12,3,1295,1,1,25,0,0,2
12,1,1,0,48,3,4308,1,1,24,0,0,2
13,0,1,1,12,3,1567,2,1,22,1,0,2
14,1,0,0,24,5,1199,4,0,60,1,0,1
15,0,1,0,15,3,1403,2,1,28,0,0,2
16,1,1,0,24,3,1282,2,1,32,1,0,1
17,0,0,3,24,5,2424,4,0,53,1,0,2
18,0,0,0,30,0,8072,1,0,25,1,0,2
19,1,1,1,24,3,12579,4,1,44,2,0,3
20,0,0,3,24,3,3430,4,0,31,1,0,2
21,0,0,3,9,5,2134,2,0,48,1,0,2
22,0,0,0,6,3,2647,2,0,44,0,0,2
23,0,0,0,10,5,2241,1,0,48,0,1,1
24,0,0,1,12,5,1804,1,0,44,1,0,2
25,0,0,3,10,5,2069,2,3,26,1,1,2
26,0,0,0,6,3,1374,2,0,36,1,0,1
27,0,0,3,6,0,426,4,3,39,1,0,1
28,0,1,2,12,1,409,2,1,42,0,0,2
29,0,0,1,7,3,2415,2,0,34,1,0,2
30,1,0,0,60,4,6836,4,0,63,1,0,2
31,0,0,1,18,3,1913,1,3,36,1,0,2
32,0,0,0,24,3,4020,2,0,27,1,0,2
33,0,0,1,18,3,5866,2,0,30,1,0,2
34,0,0,3,12,5,1264,4,0,57,0,0,1
35,0,1,2,12,3,1474,1,1,33,1,0,3
36,1,0,1,45,5,4746,1,0,25,1,0,1
37,0,0,3,48,5,6110,2,0,31,2,0,2
38,1,0,2,18,3,2100,2,0,37,1,0,2
39,0,0,2,10,3,1225,2,0,37,1,0,2
40,0,0,1,9,3,458,2,0,24,1,0,2
41,0,0,3,30,3,2333,4,0,30,1,0,3
42,0,0,1,12,3,1158,2,2,26,1,0,2
43,0,0,1,18,4,6204,2,0,44,1,0,1
44,0,0,0,30,5,6187,3,3,24,0,0,2
45,1,1,0,48,5,6143,4,1,58,2,0,1
46,0,1,3,11,5,1393,1,1,35,1,0,3
47,0,0,3,36,3,2299,4,0,39,1,0,2
48,0,1,0,6,3,1352,0,1,23,0,0,0
49,0,0,3,11,5,7228,2,0,39,1,0,1
50,0,1,3,12,3,2073,2,1,28,1,0,2
51,0,0,1,24,4,2333,1,0,29,1,0,1
52,0,0,1,27,4,5965,4,0,30,1,0,3
53,0,0,3,12,3,1262,2,0,25,1,0,2
54,0,0,3,18,3,3378,2,0,31,1,0,2
55,1,0,1,36,4,2225,4,0,57,2,0,2
56,0,0,3,6,1,783,2,0,26,1,0,1
57,1,0,1,12,3,6468,0,0,52,1,0,3
58,0,1,3,36,5,9566,2,1,31,1,0,2
59,0,1,2,18,3,1961,4,1,23,1,0,3
60,1,1,0,36,5,6229,1,1,23,0,0,1
61,0,0,1,9,3,1391,2,3,27,1,0,2
62,0,0,1,15,5,1537,4,0,50,1,0,2
63,1,0,1,36,0,1953,4,0,61,2,0,3
64,1,0,1,48,0,14421,2,0,25,1,0,2
65,0,1,3,24,3,3181,1,1,26,1,0,2
66,0,0,3,27,3,5190,4,0,48,1,0,2
67,0,1,3,12,3,2171,1,1,29,1,0,2
69,1,0,3,36,3,1819,2,0,37,2,0,2
75,1,0,0,36,3,1977,4,0,40,1,0,3
77,1,0,0,42,3,3965,1,0,34,1,0,2
81,1,1,3,24,3,5943,1,1,44,1,0,2
88,1,0,1,36,3,12612,2,0,47,2,0,2
90,1,0,0,12,0,1108,3,0,28,1,0,2
93,1,1,3,12,5,797,4,1,33,1,0,1
96,1,0,1,54,0,15945,1,0,58,0,0,2
106,1,0,1,24,5,11938,2,0,39,1,0,3
107,1,0,3,18,1,6458,4,0,39,1,0,3
114,1,1,3,36,5,7855,2,1,25,1,0,2
117,1,1,0,42,3,7174,3,1,30,1,0,3
119,1,1,0,33,5,4281,2,1,23,1,0,2
121,1,1,0,21,3,1835,2,1,25,1,0,2
125,1,1,1,18,3,1924,1,1,27,0,0,2
128,1,0,1,12,3,639,2,0,30,1,0,2
130,1,1,0,12,5,3499,2,1,29,1,0,2
132,1,0,0,36,4,6887,2,0,29,1,0,2
138,1,0,1,12,3,766,2,0,66,1,0,1
144,1,0,0,18,3,2462,2,0,22,1,0,2
156,1,1,0,12,3,1282,2,1,20,0,0,2
167,1,1,0,18,3,1131,0,1,33,1,0,2
170,1,0,1,24,5,1935,4,2,31,1,0,2
171,1,0,0,15,0,950,4,0,33,0,0,2
173,1,1,1,24,4,2064,0,1,34,1,0,3
175,1,0,0,21,4,3414,1,0,26,1,0,2
176,1,1,3,30,1,7485,0,1,53,1,0,3
181,1,0,3,36,4,9572,1,2,28,1,0,2
182,1,0,1,36,4,4455,2,2,30,1,0,3
183,1,0,0,21,1,1647,2,0,40,1,0,1
185,1,0,1,18,5,884,4,0,36,1,0,2
187,1,1,1,9,1,5129,4,1,74,2,0,3
189,1,0,0,12,3,674,3,3,20,1,0,2
