idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,present_employment_since,marriage,age_in_years,housing,foreign_worker,job,
585,0,1,3,12,2,2133,4,1,52,2,0,3,0.508501025
591,0,1,0,12,4,385,3,1,58,1,0,1,0.780393336
592,0,1,1,24,3,1965,2,1,42,0,0,2,0.609986961
593,0,1,3,21,2,1572,4,1,36,1,0,1,0.906430277
601,0,1,1,7,2,2329,1,1,45,1,0,2,0.942790724
605,0,1,2,10,2,1275,1,1,23,1,0,2,0.949188275
613,0,1,0,21,2,3357,1,1,29,1,0,2,0.020199498
614,0,1,0,24,1,3632,2,1,22,0,1,2,0.13340117
624,0,1,0,12,2,1858,1,1,22,0,0,2,0.234269693
631,0,1,0,24,2,3660,2,1,28,1,0,2,0.944107332
637,0,1,3,24,2,1376,3,1,28,1,0,2,0.216687061
639,0,1,3,12,2,1493,1,1,34,1,0,2,0.719765521
659,0,1,1,30,0,4221,2,1,28,1,0,2,0.715065846
665,0,1,2,6,4,1047,2,1,50,1,0,1,0.106967632
668,0,1,3,48,1,3609,2,1,27,1,0,2,0.427857077
676,0,1,3,30,4,4530,3,1,26,0,0,3,0.68234396
680,0,1,3,18,2,1453,1,1,26,1,0,2,0.599701292
681,0,1,3,6,2,1538,1,1,56,1,0,2,0.455256678
692,0,1,1,15,2,2631,2,1,25,1,0,1,0.40967879
698,0,1,3,12,4,926,0,1,38,1,0,0,0.560610563
703,0,1,2,24,2,1377,4,1,47,2,0,2,0.565422054
705,0,1,1,27,2,2528,1,1,32,1,0,2,0.269896205
706,0,1,3,15,2,5324,4,1,35,2,0,2,0.618200795
709,0,1,1,9,2,1206,4,1,25,1,0,2,0.812941263
724,0,1,1,9,2,,2,1,66,1,0,1,0.805124271
726,0,1,3,6,4,250,2,1,41,1,0,1,0.435564308
733,0,1,1,8,2,760,3,1,44,1,0,1,0.143091943
734,0,1,3,24,2,2603,2,1,28,0,0,2,0.769203774
735,0,1,3,4,4,3380,3,1,37,1,0,2,0.126874931
736,0,1,1,36,1,3990,1,1,29,1,0,0,0.144306322
747,0,1,0,15,2,2511,0,1,23,0,0,2,0.833507134
751,0,1,0,6,2,428,4,1,49,1,0,2,0.207021538
753,0,1,1,12,2,841,3,1,23,0,0,1,0.890754368
754,0,1,3,30,4,5771,3,1,25,1,0,2,0.811528046
761,0,1,3,15,4,5045,4,1,59,1,0,2,0.450085249
768,0,1,3,10,2,2901,1,1,31,0,0,2,0.928573676
771,0,1,0,24,2,2812,4,1,26,0,0,2,0.662792
778,0,1,0,18,2,3509,3,1,25,1,0,2,0.566337531
780,0,1,1,18,2,3872,0,1,67,1,0,2,0.059622345
796,0,1,3,9,2,2301,1,1,22,0,0,2,0.898740981
798,0,1,3,12,4,1258,1,1,22,0,0,1,0.081711272
802,0,1,1,18,4,1795,4,1,48,0,0,1,0.719662195
803,0,1,0,20,4,4272,4,1,24,1,0,2,0.487170567
805,0,1,1,12,2,7472,0,1,24,0,0,0,0.012528446
816,0,1,1,36,3,7432,2,1,54,0,0,2,0.177436191
818,0,1,3,6,4,1554,3,1,24,0,0,2,0.876421856
834,0,1,1,24,2,5084,4,1,42,1,0,2,0.964059587
837,0,1,3,12,2,886,2,1,21,1,0,2,0.961665852
838,0,1,3,4,2,601,1,1,23,0,0,1,0.858755487
857,0,1,3,10,2,894,3,1,40,1,0,2,0.066659537
866,0,1,3,15,2,2221,2,1,20,0,0,2,0.972605906
867,0,1,0,18,2,2389,1,1,27,1,0,2,0.459677865
870,0,1,0,12,2,652,4,1,24,0,0,2,0.48965797
871,0,1,3,36,3,7678,3,1,40,1,0,2,0.203528832
874,0,1,3,15,2,874,1,1,24,1,0,2,0.232139116
876,0,1,1,11,4,1322,2,1,40,1,0,2,0.178632422
884,0,1,3,18,4,1098,0,1,65,1,0,0,0.342661307
897,0,1,0,21,2,2606,1,1,28,0,0,3,0.812364787
898,0,1,3,12,4,1592,3,1,35,1,1,2,0.69351726
899,0,1,3,15,2,2186,3,1,33,0,0,1,0.697746825
909,0,1,3,15,3,3594,1,1,46,1,0,1,0.950066753
910,0,1,1,9,2,3195,2,1,33,1,0,1,0.745396538
911,0,1,3,36,3,4454,2,1,34,1,0,2,0.283623324
913,0,1,1,30,2,2991,4,1,25,1,0,2,0.773565538
921,0,1,3,18,4,1817,2,1,28,1,0,2,0.43130553
927,0,1,0,18,4,1049,1,1,21,0,0,2,0.929602327
935,0,1,0,12,2,1498,2,1,23,1,0,2,0.474858094
822,0,0,2,12,2,3016,2,3,24,1,0,2,0.420494928
824,0,0,0,8,4,731,4,0,47,1,0,1,0.930568182
825,0,0,3,18,4,3780,1,2,35,1,0,3,0.78549274
945,0,1,0,15,2,1845,1,1,46,0,0,2,0.682391579
946,0,1,1,48,0,8358,1,1,30,1,0,2,0.310534944
955,0,1,0,12,2,1893,2,1,29,1,0,2,0.404629055
956,0,1,0,24,4,1231,4,1,57,0,0,3,0.55581196
966,0,1,1,30,2,1715,2,1,26,1,0,2,0.570374559
826,0,0,0,21,4,1602,4,3,30,1,0,2,0.578616857
830,0,0,1,48,3,6681,2,0,38,2,0,2,0.500253522
968,0,1,3,15,2,3568,4,1,54,0,0,3,0.474491225
831,0,0,3,24,3,2375,2,0,44,1,0,2,0.035108802
839,0,0,0,24,4,2957,4,0,63,1,0,2,0.661083633
975,0,1,3,30,4,2831,2,1,33,1,0,2,0.842334651
976,0,1,2,24,2,1258,2,1,57,1,0,1,0.522038135
977,0,1,1,6,2,753,2,1,64,1,0,2,0.140474466
983,0,1,2,21,2,2923,2,1,28,1,0,3,0.790490467
986,0,1,0,15,4,1433,2,1,25,0,0,2,0.97654239
840,0,0,3,24,4,2611,4,3,46,1,0,2,0.239328175
842,0,0,3,21,3,2993,2,0,28,1,0,1,0.878312762
844,0,0,3,24,1,1559,3,0,50,1,0,2,0.811074633
988,0,1,3,13,2,1409,0,1,64,1,0,2,0.814957895
845,0,0,3,18,2,3422,4,0,47,1,0,2,0.430256509
846,0,0,1,21,2,3976,3,0,35,1,0,2,0.680956356
848,0,0,3,24,2,1249,1,3,28,1,0,2,0.541057682
849,0,0,0,9,2,1364,3,0,59,1,0,2,0.894824992
996,0,1,3,12,2,1736,3,1,31,1,0,1,0.559858384
852,0,0,3,24,4,4042,3,0,43,1,0,2,0.916096957
